Total_deaths,Asian,Black,Mixed,White,Other_ethnics,No_religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,No_answer,No_qualifications,Level1_entry_level_qualifications,Level2_qualifications,Apprenticeship,Level3_qualifications,Level4_qualifications_above,Remote_jobs,Underground_metro_light.rail_tram,Train,Bus_minibus_coach,Taxi,Motorcycle_scooter_moped,Driving,Passenger_in_a_car_van,Bicycle,On_foot,Other_methods,Children,Pre_Teens,Teenagers,Adults,Middle_Aged,Elderly
1.35,21.61,8.21,25.21,934.11,10.8,478.57,431.25,4.24,3.24,3.86,13.01,0.48,59.18,160.08,93.96,123.15,51.51,140.29,229.04,143.55,0.23,13,14.33,1.08,3.63,220.83,16.72,13.82,30.02,4.85,110.01,69.61,38.98,146.95,194.7,439.76
2.42,18.72,5.9,23.98,1901.98,4.65,925.25,888.24,4.34,3.45,0.93,5.42,3.94,112.54,320.2,170.03,232.53,108.94,290.07,468.88,235.87,0.42,3.11,22.59,2.37,4.85,545.52,37.65,8.41,64.76,6.65,101.34,66.23,37.45,164.76,181.02,449.21
1.94,40.75,13.28,38.48,2447.86,14.16,1018.82,1331.15,7.78,6.06,4.06,17.92,1.22,154.2,426.57,250.08,330.35,141,371.56,570.73,279.8,0.81,19.68,19.58,3.35,5.89,618.91,59.23,31.2,82.76,12.7,93.91,59.75,36.96,152.5,163.99,492.89
2.99,30.49,24.4,31.9,1861.39,8.52,983.45,822.58,3.87,6.48,0.62,11.81,4.55,114.13,376.18,190.54,250.02,107.66,284.96,343.7,177.55,8.44,4,26.71,6.49,4.26,547.06,46.56,13.03,63.05,8.12,114.65,71.07,40.66,181.58,186.12,405.91
2.61,118.8,53.05,44.57,1811.02,29.16,836.63,979.09,20.78,42.09,2.2,32.69,2.28,117.09,291.71,187.43,254.26,92.21,282.46,498.06,296.22,1.29,24.4,18.23,2.35,3.42,501.79,39.54,18.37,70.23,9.7,119.95,75.74,43.77,175.36,188.24,396.94
2.21,13.56,7.79,20.93,1383.01,5.33,614.1,709.02,3.75,2.42,1.97,6.71,0.4,86.03,209.01,133.89,188.11,74.1,207.76,353.49,204.05,0.5,5.38,4.37,1.13,2.85,364.73,21.8,7.73,47.33,5.7,94.46,67.57,40.04,141.62,168.99,487.32
2.34,876.62,725.16,144.39,1522.53,122.17,638.16,1539.06,12.72,102.19,4.21,827.13,66.37,185.77,570.07,259.53,315.54,96.98,338.03,833.36,303.22,237.05,134.17,150.12,8.4,9.28,476.12,37.06,18.87,69.16,21.94,162.58,98.44,53.96,212.51,231.38,241.13
2.23,1161.51,474.86,323.62,3482.14,589.8,1219.02,2204.92,64.42,342.46,877.13,738.81,23.61,481.14,739.96,330.02,475.42,149.19,597.1,2349.33,1233.64,321.6,72.66,233.78,13.51,18.54,725.01,49.1,33.49,145.03,37.97,126.77,78.68,42.74,207.05,226.91,317.86
2.93,35.59,26.57,35.52,3670.72,20.65,1594.28,1944.35,6.74,6.44,0.96,21.75,3.97,197.19,779.73,334.47,448.93,204.39,521.36,725.02,346.1,0.57,14.01,73.33,10.83,6.69,1027.24,107.86,11.43,117.36,14.81,113.78,69.32,39.47,185.62,183.42,408.39
2.96,123.86,138.09,76.5,2542.58,24.87,1282.48,1351.56,8.61,36.04,6.24,52.38,5.5,151.8,477.59,301.18,379.4,123.41,392.21,566.11,421.79,10.95,76.95,28.6,12.43,5.98,646.52,59.15,16.38,85.18,15.12,131.55,75.88,42.58,191.36,197.83,360.8
1.55,169.91,55.94,73.08,2538.31,31.28,1246.27,1302.77,24.52,63.5,2.6,43.41,7.82,159.93,330.02,246.55,334.19,114.72,418.72,818.1,589.6,0.9,21.63,33.4,5.69,5.55,649.57,53.4,21.6,109.01,12.02,119.39,71.5,38.2,188.39,209.61,372.91
1.82,22.54,11.4,21.77,1760.27,9.09,685.3,1008.91,3.92,4.2,0.7,11.37,2.82,100.56,325.55,165.01,222.97,100.92,262.77,384.96,166.41,0.39,4.15,10.75,2.63,3.72,526.48,48.77,16.03,64.2,7.25,106.35,67.13,38.08,168.91,177.41,442.12
1.37,98.98,28.6,81.43,2762.45,24.94,1434.1,1263.47,15.43,13.56,5.04,29.58,2.51,215.81,306.83,185.48,296.64,117.87,547.17,995.41,536.21,0.96,9.74,47.45,3.64,8.09,553.91,40.85,26.54,152.57,11.5,98.58,65.8,65.63,215.74,172.72,381.53
2.59,360.4,152.57,133.02,2171.66,51.95,979.8,1366.11,9.74,47.17,3.59,202.32,63.74,165.94,384.42,238.06,309.5,128.02,371.45,796.49,442.59,1.64,20.95,27.61,17.07,5.52,664.48,68.21,39.18,107.44,13.04,123.66,76.69,43.68,191.27,208.04,356.67
2.35,378.55,465.94,135.41,2744.73,93.92,1283.03,1919.66,31.73,116.44,3.36,150.6,81.68,216.68,551.26,331.74,442.08,158.41,503.68,958.02,630.42,43.97,188.45,120.27,10.66,11.88,658.48,45.22,15.42,81.46,21.63,126.7,78.79,45.17,184.58,206.35,358.42
2.37,5505.82,1948.35,855.27,8623.3,805.07,4281.02,6032.91,67.24,340.79,26.14,5295.54,513.21,1082.25,3287.5,1395.56,1722.96,502.35,2355.59,4118.02,1767.05,15.14,142.84,668.09,103.38,17.32,3144.42,333.97,88.94,487.75,85.29,136.51,86.47,61.57,227.69,194.5,293.27
2.02,131.64,24.7,42.84,1375.01,20.37,679.37,692.27,4.07,59.26,0.88,22.01,45.35,85.02,224.07,129.72,184.08,92.09,239,395.79,240.54,0.36,2.08,15.46,3.04,2.87,448.99,30.49,13.65,33.79,5.78,115.95,71.17,40.17,173.11,192.44,407.16
2.69,854.85,21.78,40.22,1446.88,33.6,506.87,910.86,4.06,7.48,0.76,838.86,2.15,119.46,448.09,200.91,256.77,101.48,291.62,496.6,191.92,0.5,8.09,24.29,32.84,3.04,547.09,66.29,6.89,93.23,10.49,137.12,90.53,55.44,194.89,198.44,323.58
2.71,56.95,11.02,34.24,2069.03,13.82,895.66,1110.79,7.75,7.92,3.52,31.05,1.69,115.7,442.7,211.89,270.66,122.22,300.28,405.55,186.11,4.06,4.97,52.38,14.69,5.16,455.11,53.93,21.3,108.51,13.45,108.25,66.88,41.28,180.93,176.23,426.43
