local authority: district / unitary (as of April 2023),mnemonic,Total_population,No qualifications,Level 1 and entry level qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications or above,Other qualifications,,,,,,,,
Adur,E07000223,64547,160.08,93.96,123.15,51.51,140.29,229.04,22.31,,,,,,,,
Amber Valley,E07000032,126205,320.20,170.03,232.53,108.94,290.07,468.88,37.00,,,,,,,,
Arun,E07000224,164896,426.57,250.08,330.35,141.00,371.56,570.73,71.73,,,,,,,,
Ashfield,E07000170,126305,376.18,190.54,250.02,107.66,284.96,343.70,40.31,,,,,,,,
Ashford,E07000105,132752,291.71,187.43,254.26,92.21,282.46,498.06,47.95,,,,,,,,
Babergh,E07000200,92332,209.01,133.89,188.11,74.10,207.76,353.49,32.41,,,,,,,,
Barking and Dagenham,E09000002,218863,570.07,259.53,315.54,96.98,338.03,833.36,92.35,,,,,,,,
Barnet,E09000003,389340,739.96,330.02,475.42,149.19,597.10,2349.33,151.67,,,,,,,,
Barnsley,E08000016,244576,779.73,334.47,448.93,204.39,521.36,725.02,81.37,,,,,,,,
Basildon,E07000066,187576,477.59,301.18,379.40,123.41,392.21,566.11,63.27,,,,,,,,
Basingstoke and Deane,E07000084,185148,330.02,246.55,334.19,114.72,418.72,818.10,58.59,,,,,,,,
Bassetlaw,E07000171,117804,325.55,165.01,222.97,100.92,262.77,384.96,46.29,,,,,,,,
Bath and North East Somerset,E06000022,193406,306.83,185.48,296.64,117.87,547.17,995.41,54.49,,,,,,,,
Bedford,E06000055,185228,384.42,238.06,309.50,128.02,371.45,796.49,66.80,,,,,,,,
Bexley,E09000004,246473,551.26,331.74,442.08,158.41,503.68,958.02,88.65,,,,,,,,
Birmingham,E08000025,1144916,3287.50,1395.56,1722.96,502.35,2355.59,4118.02,400.59,,,,,,,,
Blaby,E07000129,102933,224.07,129.72,184.08,92.09,239.00,395.79,31.47,,,,,,,,
Blackburn with Darwen,E06000008,154735,448.09,200.91,256.77,101.48,291.62,496.60,56.02,,,,,,,,
Blackpool,E06000009,141033,442.70,211.89,270.66,122.22,300.28,405.55,49.11,,,,,,,,
Blaenau Gwent,W06000019,66900,238.21,92.65,132.52,48.82,133.96,184.24,23.92,,,,,,,,
Bolsover,E07000033,80277,248.16,119.25,155.95,69.96,182.36,223.19,27.95,,,,,,,,
Bolton,E08000001,295961,812.60,384.09,501.22,221.96,591.66,986.54,100.66,,,,,,,,
Boston,E07000136,70503,246.66,113.36,128.19,65.70,126.37,169.85,42.00,,,,,,,,
"Bournemouth, Christchurch and Poole",E06000058,400192,826.02,512.84,733.34,312.75,987.98,1664.48,151.19,,,,,,,,
Bracknell Forest,E06000036,124600,204.24,163.93,231.29,80.11,276.91,551.20,40.54,,,,,,,,
Bradford,E08000032,546409,1566.64,713.45,890.17,352.87,1026.77,1791.92,189.44,,,,,,,,
Braintree,E07000067,155267,360.02,241.20,327.00,115.67,357.58,506.20,53.16,,,,,,,,
Breckland,E07000143,141478,406.34,219.93,284.78,124.96,308.47,421.51,59.83,,,,,,,,
Brent,E09000005,339818,925.99,376.41,405.10,147.63,531.98,1704.15,171.41,,,,,,,,
Brentwood,E07000068,77045,146.90,94.06,149.78,45.95,167.17,344.68,25.45,,,,,,,,
Bridgend,W06000013,145486,402.70,164.59,274.48,101.82,301.75,555.44,50.30,,,,,,,,
Brighton and Hove,E06000043,277107,452.62,256.32,388.35,124.75,718.22,1623.47,82.71,,,,,,,,
"Bristol, City of",E06000023,472462,877.76,454.71,647.42,236.76,1146.16,2542.43,132.35,,,,,,,,
Broadland,E07000144,131722,300.79,189.83,269.01,125.71,310.35,469.74,46.60,,,,,,,,
Bromley,E09000006,329989,566.73,356.79,546.24,163.59,610.72,1758.53,104.30,,,,,,,,
Bromsgrove,E07000234,99186,197.14,113.95,177.05,67.21,208.78,460.10,32.24,,,,,,,,
Broxbourne,E07000095,99005,256.51,144.84,181.68,69.84,205.59,336.02,36.21,,,,,,,,
Broxtowe,E07000172,110944,249.11,135.68,177.95,85.75,259.83,490.19,35.17,,,,,,,,
Buckinghamshire,E06000060,553081,944.75,610.83,921.39,329.39,1081.55,2815.33,166.10,,,,,,,,
Burnley,E07000117,94649,284.24,129.64,161.36,76.22,195.36,283.50,34.70,,,,,,,,
Bury,E08000002,193851,444.73,233.46,351.05,133.31,396.41,775.19,65.24,,,,,,,,
Caerphilly,W06000018,175956,536.43,223.60,344.59,122.22,374.08,562.47,59.51,,,,,,,,
Calderdale,E08000033,206627,495.22,252.73,361.77,163.04,450.77,796.61,61.44,,,,,,,,
Cambridge,E07000008,145676,185.24,92.79,133.11,50.13,351.46,1079.31,40.88,,,,,,,,
Camden,E09000007,210134,324.54,139.37,197.93,52.71,389.70,1579.19,72.83,,,,,,,,
Cannock Chase,E07000192,100529,280.94,152.23,202.63,77.29,240.46,290.46,33.79,,,,,,,,
Canterbury,E07000106,157431,333.94,183.51,257.15,100.02,446.60,680.06,55.74,,,,,,,,
Cardiff,W06000015,362301,749.83,316.93,509.71,178.51,880.85,1836.32,118.52,,,,,,,,
Carmarthenshire,W06000010,187895,482.83,205.54,367.03,149.53,387.59,753.62,62.73,,,,,,,,
Castle Point,E07000069,89591,275.04,157.30,195.70,78.02,196.12,212.98,37.68,,,,,,,,
Central Bedfordshire,E06000056,294251,551.51,381.89,540.57,217.97,667.84,1218.55,89.69,,,,,,,,
Ceredigion,W06000008,71468,139.99,69.92,130.31,51.08,201.96,335.46,22.39,,,,,,,,
Charnwood,E07000130,183978,373.71,214.70,293.89,139.15,522.81,772.83,54.81,,,,,,,,
Chelmsford,E07000070,181527,347.05,237.32,348.78,118.07,401.52,775.96,60.14,,,,,,,,
Cheltenham,E07000078,118833,204.21,121.59,191.15,67.19,246.12,657.52,37.26,,,,,,,,
Cherwell,E07000177,161013,324.59,212.67,281.48,113.17,325.07,710.18,55.99,,,,,,,,
Cheshire East,E06000049,398771,767.25,442.64,698.95,300.46,857.87,1917.75,119.46,,,,,,,,
Cheshire West and Chester,E06000050,357150,724.60,425.53,626.94,246.55,812.76,1632.72,106.76,,,,,,,,
Chesterfield,E07000034,103569,269.26,145.38,202.18,85.44,239.34,357.15,33.62,,,,,,,,
Chichester,E07000225,124068,240.69,143.51,222.47,82.67,287.96,604.09,40.84,,,,,,,,
Chorley,E07000118,117731,238.93,139.54,208.65,100.16,267.46,505.28,32.98,,,,,,,,
City of London,E09000001,8579,8.20,3.45,6.07,1.24,10.97,92.01,2.09,,,,,,,,
Colchester,E07000071,192716,372.49,249.79,359.37,126.09,471.28,780.84,62.28,,,,,,,,
Conwy,W06000003,114741,278.84,128.85,215.19,94.68,247.08,483.86,44.43,,,,,,,,
Cornwall,E06000052,570304,1207.17,738.62,1121.15,487.32,1393.64,2260.21,188.44,,,,,,,,
Cotswold,E07000079,90834,161.73,104.85,164.84,56.84,194.82,470.51,28.72,,,,,,,,
County Durham,E06000047,522062,1406.79,640.76,956.26,419.24,1338.78,1797.43,163.87,,,,,,,,
Coventry,E08000026,345328,831.50,426.70,541.00,221.30,813.75,1312.08,143.15,,,,,,,,
Crawley,E07000226,118495,258.45,192.46,236.35,75.84,237.94,399.29,49.27,,,,,,,,
Croydon,E09000008,390718,772.72,439.52,592.45,182.60,705.45,1972.86,143.24,,,,,,,,
Cumberland,E06000063,273244,722.65,360.02,499.85,263.34,622.17,974.02,88.15,,,,,,,,
Dacorum,E07000096,155082,281.45,193.64,272.59,91.84,307.43,724.20,46.51,,,,,,,,
Darlington,E06000005,107807,262.94,128.22,197.27,96.29,250.07,395.32,34.90,,,,,,,,
Dartford,E07000107,116756,228.00,155.05,214.57,78.32,235.29,454.89,39.06,,,,,,,,
Denbighshire,W06000004,95816,242.74,111.16,185.76,76.94,199.90,371.98,34.02,,,,,,,,
Derby,E06000015,261354,652.87,334.42,429.24,202.40,561.30,962.04,98.61,,,,,,,,
Derbyshire Dales,E07000035,71536,148.47,82.13,125.82,49.16,148.54,370.88,20.96,,,,,,,,
Doncaster,E08000017,308108,957.52,444.96,587.28,259.73,644.40,882.01,111.62,,,,,,,,
Dorset,E06000059,379578,787.55,519.76,747.78,339.95,881.28,1569.37,141.40,,,,,,,,
Dover,E07000108,116407,289.80,166.41,230.92,88.03,266.75,402.05,45.35,,,,,,,,
Dudley,E08000027,323495,938.37,441.15,611.65,243.28,698.16,1016.14,117.87,,,,,,,,
Ealing,E09000009,367122,819.95,369.05,425.44,155.11,587.48,2029.23,189.80,,,,,,,,
East Cambridgeshire,E07000009,87762,183.18,108.34,149.29,67.93,181.82,387.42,28.63,,,,,,,,
East Devon,E07000040,150821,297.57,196.03,294.50,127.04,336.53,667.95,53.98,,,,,,,,
East Hampshire,E07000085,125741,210.78,140.61,233.19,77.40,286.21,622.91,37.49,,,,,,,,
East Hertfordshire,E07000242,150160,259.59,176.72,269.57,88.17,315.92,723.88,43.10,,,,,,,,
