local authority: district / unitary (as of April 2023),mnemonic,Total,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,,,,,,,,,,,,,
Adur,E07000223,64547,143.55,0.23,13.00,14.33,1.08,3.63,220.83,16.72,13.82,30.02,4.85,,,,,,,,,,,,,
Amber Valley,E07000032,126205,235.87,0.42,3.11,22.59,2.37,4.85,545.52,37.65,8.41,64.76,6.65,,,,,,,,,,,,,
Arun,E07000224,164896,279.80,0.81,19.68,19.58,3.35,5.89,618.91,59.23,31.20,82.76,12.70,,,,,,,,,,,,,
Ashfield,E07000170,126305,177.55,8.44,4.00,26.71,6.49,4.26,547.06,46.56,13.03,63.05,8.12,,,,,,,,,,,,,
Ashford,E07000105,132752,296.22,1.29,24.40,18.23,2.35,3.42,501.79,39.54,18.37,70.23,9.70,,,,,,,,,,,,,
Babergh,E07000200,92332,204.05,0.50,5.38,4.37,1.13,2.85,364.73,21.80,7.73,47.33,5.70,,,,,,,,,,,,,
Barking and Dagenham,E09000002,218863,303.22,237.05,134.17,150.12,8.40,9.28,476.12,37.06,18.87,69.16,21.94,,,,,,,,,,,,,
Barnet,E09000003,389340,1233.64,321.60,72.66,233.78,13.51,18.54,725.01,49.10,33.49,145.03,37.97,,,,,,,,,,,,,
Barnsley,E08000016,244576,346.10,0.57,14.01,73.33,10.83,6.69,1027.24,107.86,11.43,117.36,14.81,,,,,,,,,,,,,
Basildon,E07000066,187576,421.79,10.95,76.95,28.60,12.43,5.98,646.52,59.15,16.38,85.18,15.12,,,,,,,,,,,,,
Basingstoke and Deane,E07000084,185148,589.60,0.90,21.63,33.40,5.69,5.55,649.57,53.40,21.60,109.01,12.02,,,,,,,,,,,,,
Bassetlaw,E07000171,117804,166.41,0.39,4.15,10.75,2.63,3.72,526.48,48.77,16.03,64.20,7.25,,,,,,,,,,,,,
Bath and North East Somerset,E06000022,193406,536.21,0.96,9.74,47.45,3.64,8.09,553.91,40.85,26.54,152.57,11.50,,,,,,,,,,,,,
Bedford,E06000055,185228,442.59,1.64,20.95,27.61,17.07,5.52,664.48,68.21,39.18,107.44,13.04,,,,,,,,,,,,,
Bexley,E09000004,246473,630.42,43.97,188.45,120.27,10.66,11.88,658.48,45.22,15.42,81.46,21.63,,,,,,,,,,,,,
Birmingham,E08000025,1144916,1767.05,15.14,142.84,668.09,103.38,17.32,3144.42,333.97,88.94,487.75,85.29,,,,,,,,,,,,,
Blaby,E07000129,102933,240.54,0.36,2.08,15.46,3.04,2.87,448.99,30.49,13.65,33.79,5.78,,,,,,,,,,,,,
Blackburn with Darwen,E06000008,154735,191.92,0.50,8.09,24.29,32.84,3.04,547.09,66.29,6.89,93.23,10.49,,,,,,,,,,,,,
Blackpool,E06000009,141033,186.11,4.06,4.97,52.38,14.69,5.16,455.11,53.93,21.30,108.51,13.45,,,,,,,,,,,,,
Blaenau Gwent,W06000019,66900,62.53,0.12,2.12,6.77,2.20,1.75,305.75,32.98,1.83,27.05,3.07,,,,,,,,,,,,,
Bolsover,E07000033,80277,106.65,0.26,2.09,13.40,3.02,2.99,377.23,33.48,3.87,42.05,5.22,,,,,,,,,,,,,
Bolton,E08000001,295961,458.08,2.80,25.07,74.02,40.02,6.58,1050.44,105.81,16.38,142.93,21.22,,,,,,,,,,,,,
Boston,E07000136,70503,55.12,0.42,1.19,8.09,2.57,2.22,317.46,64.36,21.81,42.57,5.22,,,,,,,,,,,,,
"Bournemouth, Christchurch and Poole",E06000058,400192,854.42,2.06,15.96,128.77,8.89,23.11,1380.13,106.87,92.71,238.45,30.75,,,,,,,,,,,,,
Bracknell Forest,E06000036,124600,410.74,1.05,15.12,11.36,3.75,4.45,467.78,33.46,14.13,58.17,8.63,,,,,,,,,,,,,
Bradford,E08000032,546409,858.23,2.03,64.45,160.77,91.64,8.16,1699.18,195.69,23.63,282.43,39.78,,,,,,,,,,,,,
Braintree,E07000067,155267,339.80,2.12,26.31,13.12,3.47,4.57,645.08,43.35,12.27,81.20,10.57,,,,,,,,,,,,,
Breckland,E07000143,141478,223.16,0.36,3.32,11.34,2.65,4.85,606.88,48.58,18.41,86.37,11.02,,,,,,,,,,,,,
Brent,E09000005,339818,758.94,374.92,128.08,332.15,13.73,27.90,540.95,49.89,63.12,170.42,34.18,,,,,,,,,,,,,
Brentwood,E07000068,77045,260.03,8.35,38.28,5.73,2.76,2.03,219.82,13.43,2.76,28.12,5.87,,,,,,,,,,,,,
Bridgend,W06000013,145486,222.71,0.37,10.15,14.55,5.50,3.49,613.63,48.51,5.89,58.50,7.99,,,,,,,,,,,,,
Brighton and Hove,E06000043,277107,921.73,2.45,54.83,154.09,8.35,14.42,540.58,47.79,81.83,307.61,24.28,,,,,,,,,,,,,
"Bristol, City of",E06000023,472462,1425.72,1.78,25.56,226.46,15.48,23.94,1222.60,113.55,193.13,414.12,32.84,,,,,,,,,,,,,
Broadland,E07000144,131722,293.34,0.46,2.54,18.90,2.56,6.10,540.52,30.38,22.03,42.08,10.77,,,,,,,,,,,,,
Bromley,E09000006,329989,1169.86,48.74,235.70,125.01,9.19,14.97,701.88,44.18,27.64,108.90,25.62,,,,,,,,,,,,,
Bromsgrove,E07000234,99186,254.64,0.36,10.02,5.73,2.79,1.84,390.32,23.32,4.45,33.74,5.39,,,,,,,,,,,,,
Broxbourne,E07000095,99005,220.27,15.14,40.40,15.45,4.86,3.63,365.41,24.99,8.03,41.61,8.58,,,,,,,,,,,,,
Broxtowe,E07000172,110944,268.05,11.23,3.78,30.88,2.73,3.27,377.51,27.19,20.78,52.33,6.60,,,,,,,,,,,,,
Buckinghamshire,E06000060,553081,1737.97,29.70,62.65,59.34,25.33,13.82,1857.93,127.69,34.36,246.15,38.19,,,,,,,,,,,,,
Burnley,E07000117,94649,104.39,0.25,2.99,25.27,17.71,1.74,347.31,39.78,6.24,68.69,5.83,,,,,,,,,,,,,
Bury,E08000002,193851,411.78,33.51,3.87,44.37,17.91,3.66,680.84,55.39,14.38,91.51,13.62,,,,,,,,,,,,,
Caerphilly,W06000018,175956,286.19,0.26,18.44,26.03,5.58,4.46,716.11,65.52,6.10,62.56,8.47,,,,,,,,,,,,,
Calderdale,E08000033,206627,422.64,0.76,17.94,57.94,17.20,4.43,719.60,67.11,10.30,115.11,13.74,,,,,,,,,,,,,
Cambridge,E07000008,145676,497.51,1.32,12.49,38.96,6.55,5.78,208.92,23.70,183.37,106.25,8.86,,,,,,,,,,,,,
Camden,E09000007,210134,900.27,160.36,44.18,101.20,11.36,8.46,109.59,7.90,61.86,164.53,18.44,,,,,,,,,,,,,
Cannock Chase,E07000192,100529,147.63,0.11,6.52,9.16,4.12,3.41,484.27,42.40,6.69,47.02,5.90,,,,,,,,,,,,,
Canterbury,E07000106,157431,311.54,1.63,23.81,29.53,3.25,4.01,474.12,38.62,17.12,110.69,10.74,,,,,,,,,,,,,
Cardiff,W06000015,362301,896.32,1.56,30.40,117.25,15.77,7.02,996.68,86.46,72.26,238.29,23.60,,,,,,,,,,,,,
Carmarthenshire,W06000010,187895,298.12,0.60,5.59,13.62,4.71,3.73,786.79,58.72,7.17,79.60,10.94,,,,,,,,,,,,,
Castle Point,E07000069,89591,180.83,1.89,28.49,12.52,2.56,3.14,335.35,23.80,6.54,33.19,7.05,,,,,,,,,,,,,
Central Bedfordshire,E06000056,294251,807.98,3.18,47.13,24.17,5.78,7.28,1190.14,77.09,23.32,135.62,18.89,,,,,,,,,,,,,
Ceredigion,W06000008,71468,147.55,0.33,1.01,6.10,1.41,1.58,238.55,15.49,4.17,46.59,3.89,,,,,,,,,,,,,
Charnwood,E07000130,183978,397.20,0.88,6.32,30.60,3.63,4.76,683.18,49.00,30.06,97.20,10.95,,,,,,,,,,,,,
Chelmsford,E07000070,181527,534.84,3.97,45.10,31.51,3.16,5.28,593.09,39.88,26.72,96.53,12.13,,,,,,,,,,,,,
Cheltenham,E07000078,118833,336.36,0.39,3.86,26.60,1.83,3.64,355.69,30.68,36.75,113.41,7.31,,,,,,,,,,,,,
Cherwell,E07000177,161013,423.61,0.64,15.91,29.23,6.77,5.34,612.08,51.95,33.40,126.03,11.42,,,,,,,,,,,,,
Cheshire East,E06000049,398771,1050.82,1.52,25.25,20.57,14.42,10.27,1447.66,115.48,54.80,216.12,25.21,,,,,,,,,,,,,
Cheshire West and Chester,E06000050,357150,823.96,1.39,20.00,45.13,15.31,10.36,1329.64,102.62,52.66,194.32,24.20,,,,,,,,,,,,,
Chesterfield,E07000034,103569,166.89,0.29,4.40,30.40,9.51,3.16,411.79,37.79,7.05,59.14,6.01,,,,,,,,,,,,,
Chichester,E07000225,124068,300.32,0.74,11.17,10.16,1.27,3.55,403.12,27.34,24.00,81.83,9.74,,,,,,,,,,,,,
Chorley,E07000118,117731,256.87,0.42,7.42,13.77,2.91,2.82,495.45,36.52,9.82,53.68,7.19,,,,,,,,,,,,,
City of London,E09000001,8579,55.80,5.41,1.47,2.05,0.33,0.20,1.92,0.20,2.96,11.74,0.84,,,,,,,,,,,,,
Colchester,E07000071,192716,436.35,1.87,32.05,41.92,6.77,7.06,675.76,51.57,35.23,124.00,12.97,,,,,,,,,,,,,
Conwy,W06000003,114741,176.32,0.43,4.51,22.32,2.63,2.63,438.38,30.54,8.37,60.34,8.41,,,,,,,,,,,,,
Cornwall,E06000052,570304,973.43,1.24,19.75,52.83,10.63,29.82,2210.00,160.78,46.29,387.66,46.49,,,,,,,,,,,,,
