local authority: district / unitary (as of April 2023),mnemonic,Total_population,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered
Adur,E07000223,64547,478.57,431.25,4.24,3.24,3.86,13.01,0.48,6.07,59.18
Amber Valley,E07000032,126205,925.25,888.24,4.34,3.45,0.93,5.42,3.94,11.11,112.54
Arun,E07000224,164896,1018.82,1331.15,7.78,6.06,4.06,17.92,1.22,13.34,154.2
Ashfield,E07000170,126305,983.45,822.58,3.87,6.48,0.62,11.81,4.55,9.23,114.13
Ashford,E07000105,132752,836.63,979.09,20.78,42.09,2.2,32.69,2.28,23.75,117.09
Babergh,E07000200,92332,614.1,709.02,3.75,2.42,1.97,6.71,0.4,6.21,86.03
Barking and Dagenham,E09000002,218863,638.16,1539.06,12.72,102.19,4.21,827.13,66.37,15.2,185.77
Barnet,E09000003,389340,1219.02,2204.92,64.42,342.46,877.13,738.81,23.61,80.44,481.14
Barnsley,E08000016,244576,1594.28,1944.35,6.74,6.44,0.96,21.75,3.97,13.35,197.19
Basildon,E07000066,187576,1282.48,1351.56,8.61,36.04,6.24,52.38,5.5,11.36,151.8
Basingstoke and Deane,E07000084,185148,1246.27,1302.77,24.52,63.5,2.6,43.41,7.82,17.65,159.93
Bassetlaw,E07000171,117804,685.3,1008.91,3.92,4.2,0.7,11.37,2.82,7.31,100.56
Bath and North East Somerset,E06000022,193406,1434.1,1263.47,15.43,13.56,5.04,29.58,2.51,17,215.81
Bedford,E06000055,185228,979.8,1366.11,9.74,47.17,3.59,202.32,63.74,31.2,165.94
Bexley,E09000004,246473,1283.03,1919.66,31.73,116.44,3.36,150.6,81.68,15.31,216.68
Birmingham,E08000025,1144916,4281.02,6032.91,67.24,340.79,26.14,5295.54,513.21,98.64,1082.25
Blaby,E07000129,102933,679.37,692.27,4.07,59.26,0.88,22.01,45.35,6.35,85.02
Blackburn with Darwen,E06000008,154735,506.87,910.86,4.06,7.48,0.76,838.86,2.15,6.8,119.46
Blackpool,E06000009,141033,895.66,1110.79,7.75,7.92,3.52,31.05,1.69,10.95,115.7
Blaenau Gwent,W06000019,66900,584.16,377.9,1.84,1.18,0.15,4.45,1.67,4.79,60.37
Bolsover,E07000033,80277,558.77,598.83,2.32,2.05,0.6,3.9,1.94,5.22,69.98
Bolton,E08000001,295961,1181.22,2155.7,8.92,91.2,2.46,914.02,3.39,15.17,213.15
Boston,E07000136,70503,341.36,653.34,2.54,3.67,0.64,14.98,0.5,4.38,70.85
"Bournemouth, Christchurch and Poole",E06000058,400192,2615.95,2904.05,31.33,44.01,24.8,102.95,4.14,45.61,427.16
Bracknell Forest,E06000036,124600,779.28,916.25,16.1,45.58,2.94,34.33,16.34,11.51,108.15
Bradford,E08000032,546409,2390.58,2828.42,14.86,73.7,3.94,2584.88,74.89,32.13,461.93
Braintree,E07000067,155267,1083.4,1131.83,6.46,9.16,4.35,15.79,1.74,10.41,142.38
Breckland,E07000143,141478,923.7,1095.48,6.2,3.24,2.25,10.07,0.96,12.41,137.53
Brent,E09000005,339818,715.03,2043.69,48.29,819.19,57.68,1124.36,23.7,68.54,364.17
Brentwood,E07000068,77045,397.46,668.95,4.68,21.24,5.11,18.92,6.12,4.03,67.14
Bridgend,W06000013,145486,1179.62,910.59,6.17,5.25,0.59,12.35,1.52,10.72,127.18
Brighton and Hove,E06000043,277107,2369.84,1326.61,38.03,32.53,38.03,131.69,5.86,44.31,306.13
"Bristol, City of",E06000023,472462,3762.59,2356.83,41.98,54.92,19.02,492.29,34.81,54.94,502.32
Broadland,E07000144,131722,907.62,972.42,6.06,5.76,2.43,10.04,1.38,8.89,126.09
Bromley,E09000006,329989,1904.71,2470.32,32.53,149.41,14.97,168.5,16.55,26.4,329.03
Bromsgrove,E07000234,99186,575.38,822.27,4.4,10.38,1.46,13.31,17.85,6.07,85.49
Broxbourne,E07000095,99005,506.82,813.24,7.42,17.82,5.65,65.83,2.42,24.8,89.9
Broxtowe,E07000172,110944,805.09,722.64,7.36,18.82,1.89,39.43,16.07,8.37,99.09
Buckinghamshire,E06000060,553081,2931.26,4042.96,45.15,230.78,26.15,600.18,136.51,40.08,515.52
Burnley,E07000117,94649,462.02,706.59,3.52,2.7,0.51,205.35,0.82,5.5,79.31
Bury,E08000002,193851,883.2,1466.67,7.87,13.54,166.3,298.12,8.91,10.05,148.59
Caerphilly,W06000018,175956,1545.65,991.49,4.99,3.81,1.3,9.2,3.25,11.87,154.4
Calderdale,E08000033,206627,1344.56,1327.36,9.76,18.17,2.37,304.43,6,16.19,172.42
Cambridge,E07000008,145676,1009.5,795.31,25.84,51.14,16.38,114.52,4.99,17.38,221.78
Camden,E09000007,210134,1127.49,1022.2,37.34,61.83,156.15,524.11,7.54,28.54,290.38
Cannock Chase,E07000192,100529,639.75,816.57,3.44,2.51,0.45,5.36,5.87,6.89,76.46
Canterbury,E07000106,157431,1023.86,1137.36,14.89,20.09,4.8,44.54,4.32,17.74,171.38
Cardiff,W06000015,362301,2410.48,2151.69,25.25,84.19,10.69,521.33,23.5,31.42,354.59
Carmarthenshire,W06000010,187895,1292.22,1384.7,8.63,6.49,1.6,15.9,2.74,17.46,181.31
Castle Point,E07000069,89591,603.98,674.62,3.69,6.74,10.24,11.03,1.21,5.27,71.14
Central Bedfordshire,E06000056,294251,1952.08,2182.95,15.43,47.02,9.61,61.43,21.67,21.1,247.43
Ceredigion,W06000008,71468,476.38,517.59,5.86,2.45,1.16,7.98,0.54,10.49,84.9
Charnwood,E07000130,183978,1160.43,1182.5,9.96,190.22,2.31,88.35,31.64,14.76,169.97
Chelmsford,E07000070,181527,1157.93,1350.66,13.6,47.78,6,56.8,4.4,11.73,163.37
Cheltenham,E07000078,118833,816.97,837.73,8.66,18.47,3.07,27.02,2.8,9.59,116.75
Cherwell,E07000177,161013,949.48,1254.7,13.94,19.26,3.1,80.65,9.64,12.72,151.1
Cheshire East,E06000049,398771,2327.87,3356.14,20.36,31.7,9.92,64.14,5.75,24.14,337.97
Cheshire West and Chester,E06000050,357150,2091.89,3016.48,16.64,24.03,4.46,54.32,3.89,19.18,302.29
Chesterfield,E07000034,103569,713.68,765.64,4.11,5.53,0.54,15.18,2.68,7.73,89.47
Chichester,E07000225,124068,743.29,1021.12,9.47,4.83,3.5,10.61,0.67,10.29,118.36
