local authority: district / unitary (as of April 2023),mnemonic,2021
Adur,E07000223,64547
Amber Valley,E07000032,126205
Arun,E07000224,164896
Ashfield,E07000170,126305
Ashford,E07000105,132752
Babergh,E07000200,92332
Barking and Dagenham,E09000002,218863
Barnet,E09000003,389340
Barnsley,E08000016,244576
Basildon,E07000066,187576
Basingstoke and Deane,E07000084,185148
Bassetlaw,E07000171,117804
Bath and North East Somerset,E06000022,193406
Bedford,E06000055,185228
Bexley,E09000004,246473
Birmingham,E08000025,1144916
Blaby,E07000129,102933
Blackburn with Darwen,E06000008,154735
Blackpool,E06000009,141033
Blaenau Gwent,W06000019,66900
Bolsover,E07000033,80277
Bolton,E08000001,295961
Boston,E07000136,70503
"Bournemouth, Christchurch and Poole",E06000058,400192
Bracknell Forest,E06000036,124600
Bradford,E08000032,546409
Braintree,E07000067,155267
Breckland,E07000143,141478
Brent,E09000005,339818
Brentwood,E07000068,77045
Bridgend,W06000013,145486
Brighton and Hove,E06000043,277107
"Bristol, City of",E06000023,472462
Broadland,E07000144,131722
Bromley,E09000006,329989
Bromsgrove,E07000234,99186
Broxbourne,E07000095,99005
Broxtowe,E07000172,110944
Buckinghamshire,E06000060,553081
Burnley,E07000117,94649
Bury,E08000002,193851
Caerphilly,W06000018,175956
Calderdale,E08000033,206627
Cambridge,E07000008,145676
Camden,E09000007,210134
Cannock Chase,E07000192,100529
Canterbury,E07000106,157431
Cardiff,W06000015,362301
Carmarthenshire,W06000010,187895
Castle Point,E07000069,89591
Central Bedfordshire,E06000056,294251
Ceredigion,W06000008,71468
Charnwood,E07000130,183978
Chelmsford,E07000070,181527
Cheltenham,E07000078,118833
Cherwell,E07000177,161013
Cheshire East,E06000049,398771
Cheshire West and Chester,E06000050,357150
Chesterfield,E07000034,103569
Chichester,E07000225,124068
Chorley,E07000118,117731
City of London,E09000001,8579
Colchester,E07000071,192716
Conwy,W06000003,114741
Cornwall,E06000052,570304
Cotswold,E07000079,90834
County Durham,E06000047,522062
Coventry,E08000026,345328
Crawley,E07000226,118495
Croydon,E09000008,390718
Cumberland,E06000063,273244
Dacorum,E07000096,155082
Darlington,E06000005,107807
Dartford,E07000107,116756
Denbighshire,W06000004,95816
Derby,E06000015,261354
Derbyshire Dales,E07000035,71536
Doncaster,E08000017,308108
Dorset,E06000059,379578
Dover,E07000108,116407
Dudley,E08000027,323495
Ealing,E09000009,367122
East Cambridgeshire,E07000009,87762
East Devon,E07000040,150821
